中证500T-1日上影线和下影线长度之和,中证500指数2点前最长游程幅度,中证500指数2点前游程数量,中证500偏离度与45-450股票开盘偏离度之差,T-1日振幅,T-1日涨跌幅,T日2点前振幅,T日2点前涨跌幅,T-1日成交量与T-2日成交量之比,上证指数开盘幅度,中证500与上证指数开盘幅度之差,中证500指数13点至14点间振幅,沪深300指数13点至14点间振幅,状态
10.94,0.007739554,28,0.052116148,0.016946505,-0.013476434,0.018557503,-8.95E-06,,0.00800904,3.16E-05,0.010056099,0.006861204,2
43.56,0.008292579,32,0.06804867,0.018669835,-0.005422735,0.018236826,-0.015794501,1.02879386,-0.001554005,0.000523232,0.003439978,0.005029011,2
0.28,0.006506081,30,0.05905275,0.030049109,-0.029090985,0.010252921,0.005060568,0.842080935,-0.004447595,-0.000139413,0.006798461,0.006018869,2
36.3,0.005238029,25,0.016466855,0.011706837,0.000397148,0.008625686,0.003364947,0.701999368,0.00073507,0.000223432,0.004224548,0.006078572,2
4.44,0.005871727,28,0.058567795,0.010220001,0.008833846,0.018472261,-0.017150617,0.951154878,-0.003713874,0.002917961,0.00590076,0.003996177,2
1.08,0.008404044,26,0.079814863,0.02937659,-0.028206287,0.013963633,0.001832758,1.364835991,-0.002116752,-0.000458992,0.006869378,0.007360135,1
33.98,0.005350708,30,0.028920355,0.013986148,-0.003139259,0.018645993,0.011349953,0.886475812,-0.00537087,0.000880683,0.005779928,0.007927003,1
32.34,0.005209217,28,0.022392328,0.022514216,0.012020936,0.013228764,-0.004488647,0.931425565,-0.002247091,-0.000292613,0.005134029,0.003777694,1
26.81,0.00791781,27,0.064335369,0.013235219,-0.004659511,0.024391348,-0.017694729,0.89207501,-0.000713512,-0.001079439,0.007202214,0.005660086,1
14.84,0.022280771,27,0.027934376,0.026618808,-0.021285205,0.029723187,0.025818899,1.056980549,-0.000520347,-0.001552708,0.025224486,0.033059818,1
20.87,0.005181175,33,-0.003600672,0.0314657,0.024628292,0.020066098,0.015739229,1.291709435,-0.006437635,0.002930412,0.004026543,0.00414047,1
8.52,0.007355493,32,0.002080629,0.025147521,0.022359471,0.012662835,-0.007121274,0.990602629,-0.000636322,0.000360842,0.005573169,0.006251868,0
30.96,0.008396183,32,0.001105567,0.014670042,-0.004848572,0.021398952,0.020789829,0.72999517,0.003389702,-0.002878384,0.003015186,0.005398663,0
0.02,0.006268231,28,-0.002393459,0.025251082,0.025244803,0.013857345,0.009326381,1.533369059,-0.00171703,-0.000780969,0.005341326,0.004925768,0
8.62,0.005376055,28,0.0277679,0.014802252,0.01211684,0.01081745,-0.008105152,1.114250271,-0.002715337,3.08E-06,0.005635656,0.004352933,0
9.11,0.005447577,28,0.047529454,0.015125015,-0.012168306,0.022512858,-0.006665693,0.876847468,0.002945466,-0.000199001,0.004947281,0.004545083,1
55.74,0.008345179,25,0.048366637,0.02252227,-0.005087551,0.010831144,-0.008606023,0.966497704,4.29E-05,-0.001002515,0.002498755,0.00241533,2
30.33,0.005009966,28,0.033171852,0.013910501,-0.004355495,0.014050345,0.007777835,0.834338319,-0.00078616,-0.000383448,0.004354894,0.004738459,1
31.37,0.005729185,30,0.017690096,0.014069069,0.004289593,0.013632292,0.001065655,0.955388212,0.00259781,-0.001242278,0.008369659,0.00870337,0
40.72,0.004724527,26,0.004392009,0.013682605,0.000969842,0.01733655,0.017197013,1.000431664,0.001351041,-0.00121657,0.003093907,0.004415051,0
6.44,0.004409479,20,0.009338826,0.018512005,0.016524387,0.007842028,-0.000318878,1.537866717,-0.000878636,0.000306647,0.003497873,0.003134929,0
18.78,0.004113311,24,0.015432457,0.008014028,-0.002277593,0.008269596,0.005028997,0.808526012,-0.004585607,-0.000399533,0.005370771,0.005371898,1
11.75,0.005026401,27,0.025605184,0.012637378,0.009008761,0.011718442,-0.007821894,0.8767309,-0.000307409,0.000292643,0.00457587,0.004452685,1
8.37,0.004875588,21,0.038728416,0.014667531,-0.011938941,0.011004629,0.004206118,1.180411021,-0.003601151,-0.001363901,0.005418182,0.005131556,0
20.6,0.004816152,30,0.037154057,0.011007678,0.004637853,0.01530027,-0.006737826,1.023739769,-0.000585274,0.000522969,0.005543467,0.003935645,1
28.05,0.008035163,28,0.067656777,0.018498175,-0.009687727,0.026410083,-0.021977249,1.125584909,-0.000716287,-0.00087659,0.005298534,0.005878106,1
25.34,0.0062322,22,0.057317787,0.02645213,-0.017938139,0.009912901,-0.001633938,0.890759276,-0.002117594,0.000472608,0.004238105,0.005733335,0
30.35,0.010870094,23,0.02564287,0.009925637,0.000262815,0.011175327,0.001286156,0.697490547,0.00012607,-0.000822715,0.005327106,0.006043892,0
31.41,0.005873933,23,0.022434763,0.011210556,0.001251291,0.007500409,-0.00098438,1.090752019,-0.000594525,0.000131319,0.004658708,0.004610304,1
18.26,0.005367533,25,0.003029674,0.008640175,0.00281082,0.020566012,0.017733023,0.927857049,0.000541714,-1.76E-05,0.003614244,0.00358458,0
